Population,BroodYear,EscapementMethod,Spawners,Spawners.std,CoreRecruits,CoreRecruitsPerSpawner,maxT_spawn,wksGT13_spawn,maxP_spawn,RB_spawn,avgT_rear,wksGT15_rear,avgP_rear,medianQ_rear,RB_emerge,breakup,NPGO,maxT_spawn.std.all,avgT_rear.std.all,wksGT13_spawn.std.all,wksGT15_rear.std.all,maxT_spawn.std,avgT_rear.std,wksGT13_spawn.std,wksGT15_rear.std,maxP_spawn.std,avgP_rear.std,medianQ_rear.std,RB_spawn.std,RB_emerge.std,breakup.std,NPGO.std
Campbell,1995,Foot survey,734,-0.092261642,725,0.98773842,12.63694733,0,107.6185459,0.08230542,11.21315937,0,46.92033881,207,0.06641604,123,-0.657690616,-0.651846391,-0.389171832,-0.9897494,-0.520544659,-0.507180197,0.294920324,-0.792886149,0,-0.323658108,-0.617013303,-1.323292283,-0.657852992,0.47894309,0.341484835,-0.616784411
Campbell,1996,Foot survey,369,-1.533330312,672,1.821138211,13.28192986,1,86.26769705,0.06763054,11.50274336,0,59.13767951,282,0.07003133,113,0.544553283,-0.388972105,-0.236445196,-0.673806668,-0.520544659,0.25935351,0.806795877,-0.165184614,0,-0.884117027,0.442397711,-0.624111155,-1.02647591,0.659546568,-0.982640036,0.362837484
Campbell,1997,Foot survey,1119,1.427769694,717,0.64075067,13.71191821,2,123.7480157,0.1654454,10.20839066,0,71.79778944,353,0.09815478,126,1.515780517,-0.21372258,-0.919086978,-0.357863936,-0.520544659,0.770375981,-1.481132729,0.46251692,0,0.099739822,1.54020289,0.037780314,1.430566269,2.064466473,0.738722297,1.154220551
Campbell,1998,Foot survey,761,0.014337958,850,1.11695138,11.93053789,0,108.7632618,0.09650271,10.73710083,0,69.42937979,281,0.05114833,122,1.885861292,-0.939756325,-0.640245165,-0.9897494,-0.520544659,-1.346717113,-0.546572061,-0.792886149,0,-0.293609363,1.334829288,-0.63343357,-0.301226807,-0.283762399,0.209072348,1.455772699
Campbell,1999,Foot survey,1035,1.096126494,1075,1.038647343,13.46621058,1,120.9219145,0.104848,10.25665466,0,51.02884607,394,0.03793534,121,2.080693375,-0.313865166,-0.893632539,-0.673806668,-0.520544659,0.47836314,-1.395820137,-0.165184614,0,0.025554778,-0.260749371,0.41999933,-0.091598848,-0.943823403,0.076659861,1.61452732
Campbell,2.00E+03,Foot survey,591,-0.65684471,1134,1.918781726,11.93053789,0,96.51186843,0.1390637,11.32065645,0,57.3620739,306,0.03745358,134,1.47359396,-0.939756325,-0.332477853,-0.9897494,-0.520544659,-1.346717113,0.484934734,-0.792886149,0,-0.615207943,0.28842835,-0.400373193,0.767876063,-0.967889946,1.798022194,1.119845767
Campbell,2001,Foot survey,717,-0.159379909,978,1.364016736,12.32981279,0,41.60608687,0.06725179,10.85995465,0,52.54322327,312,0.09781738,119,0.958507189,-0.777024623,-0.575452047,-0.9897494,-0.520544659,-0.872196247,-0.329412736,-0.792886149,0,-2.056482487,-0.129432096,-0.344438703,-1.035989851,2.047611501,-0.188165113,0.700138684
Campbell,2002,Foot survey,744,-0.052780309,718,0.965053763,13.34335676,1,127.2640845,0.09771987,11.60365899,0,52.86918097,367,0.05932478,114,0.209460249,-0.363936458,-0.183222277,-0.673806668,-0.520544659,0.33235672,0.985176751,-0.165184614,0,0.192036484,-0.101167092,0.168294124,-0.270652583,0.124695929,-0.850227549,0.089794325
Campbell,2003,Foot survey,745,-0.048832176,514,0.689932886,14.66403528,4,111.4735201,0.09410072,12.16308261,0,34.48093075,267,0.07007145,119,-1.38061641,0.174329939,0.111817815,0.274021528,-0.520544659,1.901925738,1.974027251,1.71791999,0,-0.222465192,-1.695680603,-0.76394738,-0.361563148,0.661550781,-0.188165113,-1.205844532
Campbell,2004,Foot survey,964,0.815809026,456,0.473029046,14.4490411,5,199.3341223,0.1192353,11.61024045,0,43.52344398,736,0.03758927,127,-0.553872743,0.086705176,-0.179751217,0.58996426,-0.520544659,1.646414502,0.996810287,2.345621524,0,2.083872061,-0.911570678,3.608265275,0.269800258,-0.961111489,0.871134784,-0.532190709
Campbell,2005,Foot survey,1097,1.340910761,372,0.339106655,13.92691239,3,159.0683263,0.1168613,10.46287357,0,79.08152834,385,0.07401093,123,0.59326066,-0.126097818,-0.784872662,-0.041921204,-0.520544659,1.025887216,-1.031302698,1.090218455,0,1.026896546,2.171802958,0.336097595,0.210167007,0.85834932,0.341484835,0.402525615
Chuitna,1984,Aerial survey,6322,1.160278595,3221,0.509490668,16.32546561,7,200.5382157,0.1644919,11.96887789,0,108.695938,641,0.0805827,126,-0.732847288,0.851475901,0.00939422,1.221849725,-0.520544659,0.501589614,-1.375873647,0.672813405,-1.043649391,-0.623374964,0.476724475,2.227154124,1.146463466,1.05326765,0.667219736,-0.815884137
Chuitna,1985,Aerial survey,3556,-0.162851154,1983,0.557649044,14.95718313,5,303.8824489,0.1490716,12.31539099,1,104.0641021,277,0.06017491,117,0.429174729,0.293807646,0.192145272,0.58996426,-0.183336484,-0.719093074,-0.946784148,-0.573137345,-0.577734485,0.719770048,0.242323572,-0.759891201,0.802657524,0.086673054,-0.605021286,0.192349514
Chuitna,1986,Aerial survey,8769,2.33081312,2325,0.265138556,15.20596177,4,249.2709415,0.1853568,12.14065362,1,82.32690264,398,0.03239102,117,1.323636763,0.395201874,0.099988759,0.274021528,-0.183336484,-0.497150768,-1.163162613,-1.196112721,-0.577734485,0.009994848,-0.857719541,0.233055185,1.611660422,-1.229283155,-0.605021286,0.968433538
Chuitna,1988,Aerial survey,6720,1.350663859,4010,0.59672619,15.33035108,7,194.6504433,0.08222212,13.52374435,5,134.7344867,364,0.04572295,123,-0.201546121,0.445898988,0.829430993,1.221849725,1.165496218,-0.386179614,0.549527954,0.672813405,1.285925143,-0.699897204,1.794443721,-0.045954543,-0.68779652,-0.597829602,0.243139395,-0.35489828
Chuitna,1989,Aerial survey,2200,-0.811500445,3252,1.478181818,15.91083456,7,279.6999505,0.06941555,13.62147881,2,93.01564544,409,0.06522832,124,-0.498914711,0.682485521,0.880976162,1.221849725,0.153871692,0.131685769,0.670553198,0.672813405,-0.111819578,0.405474793,-0.316799911,0.323323038,-0.973327598,0.326022773,0.384499509,-0.61291148
Chuitna,1990,Aerial survey,1067,-1.353476586,3047,2.855670103,15.4962035,7,383.8919046,0.1907375,12.54936137,1,94.05176776,320,0.04706177,96,-1.09491887,0.513495141,0.315541282,1.221849725,-0.183336484,-0.238218076,-0.657057049,0.672813405,-0.577734485,1.759637471,-0.264365409,-0.407025956,1.731626741,-0.534417729,-3.573583668,-1.13003718
Chuitna,1991,Aerial survey,1193,-1.293203864,4112,3.446772842,14.21084724,4,198.9871898,0.05548937,13.15946135,1,89.91680885,279,0.04327197,124,-1.901992588,-0.010375038,0.637308092,0.274021528,-0.183336484,-1.384919995,0.098433865,-1.196112721,-0.577734485,-0.643533349,-0.473621117,-0.743478864,-1.283821132,-0.713917822,0.384499509,-1.830298337
Chuitna,1992,Aerial survey,2971,-0.442688791,4792,1.612924941,15.08157245,6,220.23402,0.06376169,14.27008024,5,102.5470352,298,0.06967734,121,-1.211598783,0.34450476,1.223048645,0.905906992,1.165496218,-0.608121921,1.473720723,0.04983803,1.285925143,-0.367392405,0.16555016,-0.587561663,-1.099384203,0.536746163,-0.039580832,-1.231275033
Chuitna,1993,Aerial survey,4633,0.352337111,6006,1.296352256,17.23765393,7,373.9179632,0.1010461,13.62444046,3,79.48949257,345,0.04144294,119,-1.039208546,1.223254737,0.882538137,1.221849725,0.491079867,1.315378072,0.674220629,0.672813405,0.354095329,1.630008083,-1.001310872,-0.201871744,-0.268103247,-0.800548002,-0.322301059,-1.081699866
Chuitna,1994,Aerial survey,2249,-0.788061053,6133,2.726989773,16.03522387,8,247.8308805,0.1317976,13.34012202,2,119.7581207,352,0.04564257,124,-0.972836612,0.733182635,0.732588555,1.537792457,0.153871692,0.242656922,0.322147194,1.295788781,-0.111819578,-0.008721346,1.036542584,-0.144428565,0.417522095,-0.60163672,0.384499509,-1.024111958
Chuitna,1995,Aerial survey,2582,-0.62876886,4912,1.902401239,15.41327729,8,213.3428026,0.08230542,13.49116619,3,88.53224832,207,0.06641604,123,-0.657690616,0.479697065,0.812249271,1.537792457,0.491079867,-0.312198845,0.509186206,1.295788781,0.354095329,-0.456956224,-0.54368885,-1.334322994,-0.685939291,0.382277944,0.243139395,-0.750674111
Chuitna,1996,Aerial survey,2984,-0.436470177,3649,1.222855228,16.28400251,7,167.3971731,0.06763054,13.88210404,4,99.61719578,282,0.07003133,113,0.544553283,0.834576863,1.018429945,1.221849725,0.828288043,0.464599229,0.99328718,0.672813405,0.820010236,-1.054102686,0.017281303,-0.718860358,-1.013125594,0.553512545,-1.170461739,0.292458237
Chuitna,1997,Aerial survey,4960,0.508759174,4156,0.837903226,16.86448598,7,205.8448938,0.1654454,12.13473031,1,142.1386721,353,0.09815478,126,1.515780517,1.071163395,0.096864809,1.221849725,-0.183336484,0.982464612,-1.170497476,0.672813405,-0.577734485,-0.554405096,2.16914347,-0.136222397,1.167722389,1.885551674,0.667219736,1.135147933
