Population,BroodYear,EscapeIndex,EscapementMethod,WeirRemovals,Spawners1,Spawners2.min,Spawners2.nom,Spawners2.max,Recruits1,Recruits2.min,Recruits2.nom,Recruits2.max,NumAgeClasses,CoreRecruits1,CoreRecruits2.min,CoreRecruits2.nom,CoreRecruits2.max,NumCoreAgeClasses,RecruitsPerSpawner,CoreRecruitsPerSpawner
Chuitna,1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2804,6097,7654,10769,3,NA,NA
Chuitna,1981,1362,Single aerial survey,NA,1362,2270,3027,4540,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chuitna,1982,3438,Single aerial survey,NA,3438,5730,7640,11460,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chuitna,1983,4043,Single aerial survey,NA,4043,6738,8984,13477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chuitna,1984,2845,Single aerial survey,NA,2845,4742,6322,9483,NA,NA,NA,NA,NA,1119,3201,3823,5066,3,NA,0.6047136981967731
Chuitna,1985,1600,Single aerial survey,NA,1600,2667,3556,5333,594,2239,2569,3229,5,583,2212,2536,3183,3,0.7224409448818898,0.7131608548931384
Chuitna,1986,3946,Single aerial survey,NA,3946,6577,8769,13153,825,2313,2772,3689,5,812,2279,2730,3633,3,0.31611358193636674,0.31132398221005814
Chuitna,1987,NA,NA,NA,NA,NA,NA,NA,1423,3567,4358,5939,5,1417,3548,4334,5909,3,NA,NA
Chuitna,1988,3024,Single aerial survey,NA,3024,5040,6720,10080,1507,3847,4684,6358,5,1500,3831,4664,6331,3,0.6970238095238095,0.694047619047619
Chuitna,1989,990,Single aerial survey,NA,990,1650,2200,3300,1270,3034,3739,5150,5,1260,3006,3706,5105,3,1.6995454545454545,1.6845454545454546
Chuitna,1990,480,Single aerial survey,NA,480,800,1067,1600,1174,2919,3571,4875,5,1157,2879,3522,4808,3,3.3467666354264294,3.3008434864104967
Chuitna,1991,537,Single aerial survey,NA,537,895,1193,1790,1559,3955,4821,6553,5,1547,3927,4786,6505,3,4.041072925398156,4.011735121542331
Chuitna,1992,1337,Single aerial survey,NA,1337,2228,2971,4457,1875,4473,5514,7598,5,1855,4432,5462,7523,3,1.8559407606866376,1.8384382362840794
Chuitna,1993,2085,Single aerial survey,NA,2085,3475,4633,6950,2458,5249,6615,9346,5,2446,5217,6576,9294,3,1.4278005611914526,1.4193826894021153
Chuitna,1994,1012,Single aerial survey,NA,1012,1687,2249,3373,2540,5301,6712,9533,5,2522,5260,6661,9463,3,2.984437527790129,2.961760782570031
Chuitna,1995,1162,Single aerial survey,NA,1162,1937,2582,3873,2006,4336,5451,7680,5,1990,4297,5403,7613,3,2.111154144074361,2.0925639039504262
Chuitna,1996,1343,Single aerial survey,NA,1343,2238,2984,4477,1450,3436,4242,5852,5,1416,3366,4153,5725,3,1.4215817694369972,1.3917560321715818
Chuitna,1997,2232,Single aerial survey,NA,2232,3720,4960,7440,1637,3870,4780,6599,5,1616,3823,4721,6516,3,0.9637096774193549,0.9518145161290322
Chuitna,1998,1869,Single aerial survey,NA,1869,3115,4153,6230,2170,4653,5859,8271,5,2152,4612,5809,8200,3,1.410787382614977,1.3987478930893331
Chuitna,1999,3721,Single aerial survey,NA,3721,6202,8269,12403,2316,4610,5897,8470,5,2295,4560,5835,8386,3,0.7131454831297618,0.7056475994678921
Chuitna,2e3,1456,Single aerial survey,NA,1456,2427,3236,4853,1888,3825,4874,6972,5,1856,3751,4782,6844,3,1.5061804697156984,1.4777503090234858
Chuitna,2001,1501,Single aerial survey,NA,1501,2502,3336,5003,1553,3639,4501,6227,5,1510,3558,4397,6074,3,1.349220623501199,1.3180455635491606
Chuitna,2002,1394,Single aerial survey,NA,1394,2323,3098,4647,1253,3325,4021,5413,5,1229,3276,3958,5324,3,1.2979341510652034,1.277598450613299
Chuitna,2003,2339,Single aerial survey,NA,2339,3898,5198,7797,866,2013,2494,3456,5,829,1936,2397,3317,3,0.4797999230473259,0.4611388995767603
Chuitna,2004,2938,Single aerial survey,NA,2938,4897,6529,9793,824,1544,2002,2917,5,797,1462,1905,2790,3,0.30663194976259767,0.2917751569918824
Chuitna,2005,1307,Single aerial survey,NA,1307,2178,2904,4357,808,1402,1851,2748,5,793,1374,1815,2696,3,0.637396694214876,0.625
Chuitna,2006,1911,Single aerial survey,NA,1911,3185,4247,6370,683,1143,1522,2281,5,650,1084,1445,2168,3,0.3583706145514481,0.34024016953143393
Chuitna,2007,1180,Single aerial survey,NA,1180,1967,2622,3933,760,1266,1689,2532,5,734,1223,1631,2446,3,0.6441647597254004,0.6220442410373761
Chuitna,2008,586,Single aerial survey,NA,586,977,1302,1953,1179,1965,2620,3930,5,1150,1916,2555,3832,3,2.0122887864823347,1.9623655913978495
Chuitna,2009,1040,Single aerial survey,NA,1040,1733,2311,3467,NA,NA,NA,NA,NA,1485,2474,3299,4948,3,NA,1.4275205538727824
Chuitna,2010,735,Single aerial survey,NA,735,1225,1633,2450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chuitna,2011,719,Single aerial survey,NA,719,1198,1598,2397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chuitna,2012,502,Single aerial survey,NA,502,837,1116,1673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chuitna,2013,1690,Single aerial survey,NA,1690,2817,3756,5633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chuitna,2014,1398,Single aerial survey,NA,1398,2330,3107,4660,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chuitna,2015,1965,Single aerial survey,NA,1965,3275,4367,6550,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chulitna,1982,863,Single aerial survey,NA,863,1438,1918,2877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chulitna,1983,4058,Single aerial survey,NA,4058,6763,9018,13527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chulitna,1984,4191,Single aerial survey,NA,4191,6985,9313,13970,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chulitna,1985,783,Single aerial survey,NA,783,1305,1740,2610,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
