"","Site","Year","Max.temp"
"362","NF Campbell",1995,12.6660705201931
"363","Ninilchik",1995,13.5394508916882
"364","Quartz",1995,8.77155561122231
"365","Slikok",1995,11.4528068196318
"366","Soldotna",1995,13.1079487150324
"367","Theodore",1995,13.4407185583553
"368","Willow",1995,12.7048780819335
"369","Alexander",1996,18.5684805209073
"370","Anchor",1996,13.9686900059397
"371","Beaver",1996,12.7382026732805
"372","Chuitna",1996,16.2764273256161
"373","Crooked",1996,11.9208504453322
"374","Deep",1996,14.405941641051
"375","Deshka",1996,19.0288636483253
"376","EF Chulitna",1996,10.1501763579378
"377","Funny",1996,10.7338460917892
"378","Hidden",1996,14.1521395221131
"379","Kenai R at Cooper Landing",1996,9.56134046625896
"380","Kenai R at Skilak",1996,11.962727993241
"381","Kenai R at Soldotna",1996,11.8222076824195
"382","Little Willow",1996,14.1518200875945
"383","Montana",1996,14.0045354293821
"384","Moose",1996,13.7388926425703
"385","NF Campbell",1996,13.3135619172439
"386","Ninilchik",1996,13.8581965621529
"387","Quartz",1996,8.60158033037237
"388","Slikok",1996,11.1726078790234
"389","Soldotna",1996,12.7805503895262
"390","Theodore",1996,14.3367159858975
"391","Willow",1996,13.5338632036045
"392","Alexander",1997,20.7097785824255
"393","Anchor",1997,14.9227361161844
"394","Beaver",1997,14.5980224635538
"395","Chuitna",1997,18.2665414646704
"396","Crooked",1997,13.8069034475513
"397","Deep",1997,15.495671278506
"398","Deshka",1997,21.252125716375
"399","EF Chulitna",1997,11.3905418215907
"400","Funny",1997,12.5480205917266
"401","Hidden",1997,15.7212059312116
"402","Kenai R at Cooper Landing",1997,10.8499665104041
"403","Kenai R at Skilak",1997,13.5787844078395
"404","Kenai R at Soldotna",1997,13.2467798269829
"405","Little Willow",1997,15.7625336211021
"406","Montana",1997,15.5043585407941
"407","Moose",1997,15.9670132181423
"408","NF Campbell",1997,13.745222848611
"409","Ninilchik",1997,14.8144335735471
"410","Quartz",1997,9.58743695930198
"411","Slikok",1997,12.7977617345519
"412","Soldotna",1997,14.679460677462
"413","Theodore",1997,15.8767115644858
"414","Willow",1997,14.9586813814766
"415","Alexander",1998,17.8676920644104
"416","Anchor",1998,13.6904265571183
"417","Beaver",1998,12.8023343901865
"418","Chuitna",1998,15.6251172437437
"419","Crooked",1998,11.9858867557535
"420","Deep",1998,14.0881038301266
"421","Deshka",1998,18.3012506078727
"422","EF Chulitna",1998,9.74423856983319
"423","Funny",1998,10.7964038331664
"424","Hidden",1998,14.2062452603578
"425","Kenai R at Cooper Landing",1998,9.60577584709155
"426","Kenai R at Skilak",1998,12.0184540765031
"427","Kenai R at Soldotna",1998,11.8713308598182
"428","Little Willow",1998,13.6246774766284
"429","Montana",1998,13.5136842292836
"430","Moose",1998,13.8157243865555
"431","NF Campbell",1998,12.4810729781787
"432","Ninilchik",1998,13.5792941004963
"433","Quartz",1998,8.63557538654236
"434","Slikok",1998,11.2286476671451
"435","Soldotna",1998,12.8460300546274
"436","Theodore",1998,13.832717432905
"437","Willow",1998,13.0675590726646
"438","Alexander",1999,19.580730513625
"439","Anchor",1999,14.2469534547611
"440","Beaver",1999,13.956705294494
"441","Chuitna",1999,17.2172085549872
"442","Crooked",1999,13.1565403433378
"443","Deep",1999,14.7237794519753
"444","Deshka",1999,20.0798602623125
"445","EF Chulitna",1999,10.7365309407555
"446","Funny",1999,11.9224431779551
"447","Hidden",1999,15.1801485487638
"448","Kenai R at Cooper Landing",1999,10.4056127020782
"449","Kenai R at Skilak",1999,13.0215235752193
"450","Kenai R at Soldotna",1999,12.7555480529956
"451","Little Willow",1999,14.9132483034345
"452","Montana",1999,14.7135427184132
"453","Moose",1999,15.1986957782899
"454","NF Campbell",1999,13.4985594592583
"455","Ninilchik",1999,14.1370990238096
"456","Quartz",1999,9.24748639760211
"457","Slikok",1999,12.2373638533352
"458","Soldotna",1999,14.0246640264497
"459","Theodore",1999,15.0647138957756
"460","Willow",1999,14.2074136149622
"461","Alexander",2000,17.6730286042724
"462","Anchor",2000,13.7301784783785
"463","Beaver",2000,12.5458075225626
"464","Chuitna",2000,15.444197776557
"465","Crooked",2000,11.7257415140681
"466","Deep",2000,14.1335092316872
"467","Deshka",2000,18.0991358744137
"468","EF Chulitna",2000,9.63147807313747
"469","Funny",2000,10.5461728676578
"470","Hidden",2000,13.9898223073787
"471","Kenai R at Cooper Landing",2000,9.42803432376119
"472","Kenai R at Skilak",2000,11.795549743455
"473","Kenai R at Soldotna",2000,11.6748381502233
"474","Little Willow",2000,13.4782489735822
"475","Montana",2000,13.3773366737007
"476","Moose",2000,13.5083974106145
"477","NF Campbell",2000,12.3269083598332
"478","Ninilchik",2000,13.6191373093044
"479","Quartz",2000,8.49959516186242
"480","Slikok",2000,11.0044885146584
"481","Soldotna",2000,12.5841113942225
"482","Theodore",2000,13.6927178348515
"483","Willow",2000,12.9380301474035
"484","Alexander",2001,18.3738170607693
"485","Anchor",2001,14.1276976909805
"486","Beaver",2001,13.3474539838873
"487","Chuitna",2001,16.0955078584293
"488","Crooked",2001,12.538695394335
"489","Deep",2001,14.5875632472935
"490","Deshka",2001,18.8267489148663
"491","EF Chulitna",2001,10.0374158612421
"492","Funny",2001,11.3281446348722
"493","Hidden",2001,14.6661440354384
"494","Kenai R at Cooper Landing",2001,9.98347658416856
"495","Kenai R at Skilak",2001,12.4921257842302
"496","Kenai R at Soldotna",2001,12.2888778677075
"497","Little Willow",2001,14.0053915845484
"498","Montana",2001,13.8681878737992
"499","Moose",2001,14.4687942104301
"500","NF Campbell",2001,12.8202351385386
"501","Ninilchik",2001,14.0175693973853
"502","Quartz",2001,8.92453336398724
"503","Slikok",2001,11.7049858661793
"504","Soldotna",2001,13.4026072079879
"505","Theodore",2001,14.1967163878441
"506","Willow",2001,13.4043342783434
"507","Alexander",2002,20.2036535860666
"508","Anchor",2002,13.6506746358582
"509","Beaver",2002,13.0909271162634
"510","Chuitna",2002,17.7961508499848
"511","Crooked",2002,12.2785501526496
"512","Deep",2002,14.042698428566
"513","Deshka",2002,20.7266274093815
"514","EF Chulitna",2002,11.0973645301819
