Population,BroodYear,EscapeIndex,EscapementMethod,WeirRemovals,Spawners1,Spawners2.min,Spawners2.nom,Spawners2.max,Recruits1,Recruits2.min,Recruits2.nom,Recruits2.max,NumAgeClasses,CoreRecruits1,CoreRecruits2.min,CoreRecruits2.nom,CoreRecruits2.max,NumCoreAgeClasses,RecruitsPerSpawner,CoreRecruitsPerSpawner
Deep,1998,676,Single aerial survey,NA,676,1127,1502,2253,933,2268,2786,3822,5,902,2188,2689,3691,3,1.8548601864181091,1.7902796271637815
Deep,1999,1190,Single aerial survey,NA,1190,1983,2644,3967,1187,2836,3495,4815,5,1149,2743,3382,4659,3,1.3218608169440242,1.279122541603631
Deep,2e3,556,Single aerial survey,NA,556,927,1236,1853,900,2128,2628,3629,5,867,2045,2527,3490,3,2.1262135922330097,2.044498381877023
Deep,2001,551,Single aerial survey,NA,551,918,1224,1837,625,1566,1913,2606,5,595,1486,1817,2477,3,1.5629084967320261,1.4844771241830066
Deep,2002,696,Single aerial survey,NA,696,1160,1547,2320,485,1419,1689,2227,5,454,1350,1603,2106,3,1.0917905623787976,1.0361990950226245
Deep,2003,1008,Single aerial survey,NA,1008,1680,2240,3360,338,1034,1222,1597,5,309,960,1132,1476,3,0.5455357142857142,0.5053571428571428
Deep,2004,1075,Single aerial survey,NA,1075,1792,2389,3583,244,604,740,1011,5,229,565,692,946,3,0.3097530347425701,0.2896609460025115
Deep,2005,1076,Single aerial survey,NA,1076,1793,2391,3587,561,1180,1492,2114,5,551,1145,1451,2064,3,0.6240066917607695,0.6068590547887913
Deep,2006,507,Single aerial survey,NA,507,845,1127,1690,543,1111,1413,2016,5,508,1042,1324,1888,3,1.2537710736468501,1.1748003549245785
Deep,2007,553,Single aerial survey,NA,553,922,1229,1843,486,936,1206,1745,5,458,874,1128,1636,3,0.9812855980471928,0.9178193653376729
Deep,2008,205,Single aerial survey,NA,205,342,456,683,488,902,1173,1715,5,473,871,1134,1659,3,2.5723684210526314,2.486842105263158
Deep,2009,483,Single aerial survey,NA,483,805,1073,1610,NA,NA,NA,NA,NA,490,942,1214,1758,3,NA,1.1314072693383037
Deep,2010,387,Single aerial survey,NA,387,645,860,1290,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
